sqe-cli 0.36.0 connected to http://localhost:50051 (flight)
(121 rows)
+------+-------------------------------------------------------------+-------------+--------------------+--------------+----------------+-------------+---------------+--------------+
| step | operation                                                   | output_rows | elapsed_ms         | output_bytes | output_batches | spill_count | spilled_bytes | spilled_rows |
+------+-------------------------------------------------------------+-------------+--------------------+--------------+----------------+-------------+---------------+--------------+
| -5   | [phase] parse + logical plan                                |             | 88.345539          |              |                |             |               |              |
| -4   | [phase] policy evaluate                                     |             | 0.001224           |              |                |             |               |              |
| -3   | [phase] physical plan                                       |             | 32.212317999999996 |              |                |             |               |              |
| -2   | [phase] execute (per-op detail below)                       |             | 10092.164553       |              |                |             |               |              |
| -1   | [phase] framework overhead (parse + plan + policy + result) |             | 120.55985499999952 |              |                |             |               |              |
| 5    | IcebergScanExec                                             | 350         | 0.435272           | 0            | 0              |             |               |              |
| 6    | RepartitionExec                                             | 350         | 0.0171             | 32768        | 1              | 0           | 0             | 0            |
| 7    | FilterExec                                                  | 1           | 0.022752           | 0            | 1              |             |               |              |
| 8    | CoalescePartitionsExec                                      | 1           | 0.015397           | 0            | 1              |             |               |              |
| 9    | IcebergScanExec                                             | 5819645     | 3.13414            | 0            | 0              |             |               |              |
| 10   | RepartitionExec                                             | 5819645     | 92.237661          | 23330816     | 712            | 0           | 0             | 0            |
| 11   | FilterExec                                                  | 5819645     | 58.470067          | 0            | 712            |             |               |              |
| 12   | AggregateExec                                               | 8           | 7.715629           | 64           | 8              |             |               |              |
| 13   | CoalescePartitionsExec                                      | 8           | 0.011733           | 64           | 8              |             |               |              |
| 14   | AggregateExec                                               | 1           | 0.007766           | 8            | 1              |             |               |              |
| 15   | ProjectionExec                                              | 1           | 0.002605           | 8            | 1              |             |               |              |
| 16   | NestedLoopJoinExec                                          | 1           | 0.172087           | 65536        | 1              |             |               |              |
| 17   | IcebergScanExec                                             | 5819645     | 4.82231            | 0            | 0              |             |               |              |
| 18   | RepartitionExec                                             | 5819645     | 151.914265         | 69992448     | 712            | 0           | 0             | 0            |
| 19   | FilterExec                                                  | 5819645     | 54.404248          | 46661632     | 712            |             |               |              |
| 20   | AggregateExec                                               | 8           | 8.375762           | 128          | 8              |             |               |              |
| 21   | CoalescePartitionsExec                                      | 8           | 0.00685            | 128          | 8              |             |               |              |
| 22   | AggregateExec                                               | 1           | 0.006946           | 8            | 1              |             |               |              |
| 23   | NestedLoopJoinExec                                          | 1           | 0.383221           | 131072       | 1              |             |               |              |
| 24   | IcebergScanExec                                             | 5819645     | 4.427689           | 0            | 0              |             |               |              |
| 25   | RepartitionExec                                             | 5819645     | 135.052209         | 69992448     | 712            | 0           | 0             | 0            |
| 26   | FilterExec                                                  | 5819645     | 45.956751          | 46661632     | 712            |             |               |              |
| 27   | AggregateExec                                               | 8           | 7.380582           | 128          | 8              |             |               |              |
| 28   | CoalescePartitionsExec                                      | 8           | 0.005635           | 128          | 8              |             |               |              |
| 29   | AggregateExec                                               | 1           | 0.027319           | 8            | 1              |             |               |              |
| 30   | NestedLoopJoinExec                                          | 1           | 0.830901           | 196608       | 1              |             |               |              |
| 31   | IcebergScanExec                                             | 5818567     | 2.840578           | 0            | 0              |             |               |              |
| 32   | RepartitionExec                                             | 5818567     | 90.309759          | 23330816     | 712            | 0           | 0             | 0            |
| 33   | FilterExec                                                  | 5818567     | 32.617883          | 0            | 712            |             |               |              |
| 34   | AggregateExec                                               | 8           | 12.474697          | 64           | 8              |             |               |              |
| 35   | CoalescePartitionsExec                                      | 8           | 0.005801           | 64           | 8              |             |               |              |
| 36   | AggregateExec                                               | 1           | 0.008202           | 8            | 1              |             |               |              |
| 37   | ProjectionExec                                              | 1           | 0.002856           | 8            | 1              |             |               |              |
| 38   | NestedLoopJoinExec                                          | 1           | 1.135559           | 262144       | 1              |             |               |              |
| 39   | IcebergScanExec                                             | 5818567     | 3.142065           | 0            | 0              |             |               |              |
