sqe-cli 0.36.0 connected to http://localhost:50051 (flight)
+------+-------------------------------------------------------------+-------------+-----------------------+--------------+----------------+-------------+---------------+--------------+
| step | operation                                                   | output_rows | elapsed_ms            | output_bytes | output_batches | spill_count | spilled_bytes | spilled_rows |
+------+-------------------------------------------------------------+-------------+-----------------------+--------------+----------------+-------------+---------------+--------------+
| -5   | [phase] parse + logical plan                                |             | 58.638886             |              |                |             |               |              |
| -4   | [phase] policy evaluate                                     |             | 0.0012610000000000002 |              |                |             |               |              |
| -3   | [phase] physical plan                                       |             | 37.600836             |              |                |             |               |              |
| -2   | [phase] execute (per-op detail below)                       |             | 2442.451593           |              |                |             |               |              |
| -1   | [phase] framework overhead (parse + plan + policy + result) |             | 96.24223400000028     |              |                |             |               |              |
| 5    | IcebergScanExec                                             | 73049       | 3.52981               | 0            | 0              |             |               |              |
| 6    | RepartitionExec                                             | 73049       | 0.009239              | 884736       | 9              | 0           | 0             | 0            |
| 7    | FilterExec                                                  | 96          | 0.247394              | 98304        | 1              |             |               |              |
| 8    | CoalescePartitionsExec                                      | 96          | 0.013999              | 98304        | 1              |             |               |              |
| 9    | IcebergScanExec                                             | 316133      | 5.960647              | 0            | 0              |             |               |              |
| 10   | RepartitionExec                                             | 316133      | 2.851561              | 5283840      | 40             | 0           | 0             | 0            |
| 11   | HashJoinExec                                                | 316133      | 5.337119              | 6362188      | 40             |             |               |              |
| 12   | ProjectionExec                                              | 316133      | 0.07779               | 6362188      | 40             |             |               |              |
| 13   | CoalescePartitionsExec                                      | 316133      | 0.025566              | 6362188      | 40             |             |               |              |
| 14   | IcebergScanExec                                             | 22851       | 197.912082            | 0            | 0              |             |               |              |
| 15   | RepartitionExec                                             | 22851       | 12.301615             | 655410       | 8              | 0           | 0             | 0            |
| 16   | HashJoinExec                                                | 303669      | 25.68473              | 10221304     | 40             |             |               |              |
| 17   | AggregateExec                                               | 840         | 30.059676             | 89472        | 8              | 0           | 0             | 0            |
| 18   | RepartitionExec                                             | 840         | 0.423396              | 1063072      | 8              | 0           | 0             | 0            |
| 19   | AggregateExec                                               | 105         | 0.299894              | 68104        | 8              | 0           | 0             | 0            |
| 20   | ProjectionExec                                              | 105         | 0.009981              | 66952        | 8              |             |               |              |
| 21   | RepartitionExec                                             | 105         | 0.044444              | 526128       | 8              | 0           | 0             | 0            |
| 22   | IcebergScanExec                                             | 500000      | 0.7481                | 0            | 0              |             |               |              |
| 23   | IcebergScanExec                                             | 73049       | 5.716432              | 0            | 0              |             |               |              |
| 24   | RepartitionExec                                             | 73049       | 0.045041              | 884736       | 9              | 0           | 0             | 0            |
| 25   | FilterExec                                                  | 96          | 0.28548               | 98304        | 1              |             |               |              |
| 26   | CoalescePartitionsExec                                      | 96          | 0.007779              | 98304        | 1              |             |               |              |
| 27   | IcebergScanExec                                             | 1206088     | 38.273164             | 0            | 0              |             |               |              |
| 28   | RepartitionExec                                             | 1206088     | 9.444264              | 19922944     | 152            | 0           | 0             | 0            |
| 29   | HashJoinExec                                                | 1206088     | 19.101104             | 24903680     | 152            |             |               |              |
| 30   | ProjectionExec                                              | 1206088     | 0.272376              | 24903680     | 152            |             |               |              |
| 31   | HashJoinExec                                                | 1206088     | 60.215251             | 40697297     | 152            |             |               |              |
| 32   | ProjectionExec                                              | 1206088     | 0.25909               | 40697297     | 152            |             |               |              |
| 33   | AggregateExec                                               | 840         | 93.115027             | 86192        | 8              | 0           | 0             | 0            |
| 34   | RepartitionExec                                             | 840         | 1.013925              | 1063072      | 8              | 0           | 0             | 0            |
| 35   | AggregateExec                                               | 105         | 0.397302              | 68104        | 8              | 0           | 0             | 0            |
| 36   | ProjectionExec                                              | 105         | 0.01437               | 67528        | 8              |             |               |              |
| 37   | RepartitionExec                                             | 105         | 0.199077              | 788272       | 8              | 0           | 0             | 0            |
| 38   | IcebergScanExec                                             | 500000      | 0.988931              | 0            | 0              |             |               |              |
| 39   | IcebergScanExec                                             | 73049       | 3.557879              | 0            | 0              |             |               |              |
| 40   | RepartitionExec                                             | 73049       | 0.011135              | 884736       | 9              | 0           | 0             | 0            |
| 41   | FilterExec                                                  | 90          | 0.321571              | 98304        | 1              |             |               |              |
| 42   | CoalescePartitionsExec                                      | 90          | 0.010035              | 98304        | 1              |             |               |              |
| 43   | IcebergScanExec                                             | 1137953     | 29.692301             | 0            | 0              |             |               |              |
