sqe-cli 0.36.0 connected to http://localhost:50051 (flight)
+------+-------------------------------------------------------------+-------------+-------------------+--------------+----------------+-------------+---------------+--------------+
| step | operation                                                   | output_rows | elapsed_ms        | output_bytes | output_batches | spill_count | spilled_bytes | spilled_rows |
+------+-------------------------------------------------------------+-------------+-------------------+--------------+----------------+-------------+---------------+--------------+
| -5   | [phase] parse + logical plan                                |             | 10.55171          |              |                |             |               |              |
| -4   | [phase] policy evaluate                                     |             | 0.001196          |              |                |             |               |              |
| -3   | [phase] physical plan                                       |             | 24.160989         |              |                |             |               |              |
| -2   | [phase] execute (per-op detail below)                       |             | 3738.265711       |              |                |             |               |              |
| -1   | [phase] framework overhead (parse + plan + policy + result) |             | 34.71513500000037 |              |                |             |               |              |
| 5    | IcebergScanExec                                             | 180000      | 0.487204          | 0            | 0              |             |               |              |
| 6    | IcebergScanExec                                             | 180000      | 0.589934          | 0            | 0              |             |               |              |
| 7    | IcebergScanExec                                             | 236727      | 0.561505          | 0            | 0              |             |               |              |
| 8    | RepartitionExec                                             | 236727      | 7.587933          | 4194304      | 32             | 0           | 0             | 0            |
| 9    | FilterExec                                                  | 236727      | 1.639801          | 3145728      | 32             |             |               |              |
| 10   | AggregateExec                                               | 218180      | 30.511118         | 20588032     | 32             | 0           | 0             | 0            |
| 11   | RepartitionExec                                             | 218180      | 2.618054          | 5242880      | 32             | 0           | 0             | 0            |
| 12   | AggregateExec                                               | 131773      | 14.507385         | 8227168      | 23             | 0           | 0             | 0            |
| 13   | CoalescePartitionsExec                                      | 131773      | 0.025652          | 8227168      | 23             |             |               |              |
| 14   | IcebergScanExec                                             | 9687        | 0.550607          | 0            | 0              |             |               |              |
| 15   | RepartitionExec                                             | 9687        | 1.33692           | 1056768      | 8              | 0           | 0             | 0            |
| 16   | FilterExec                                                  | 9687        | 0.594311          | 786432       | 8              |             |               |              |
| 17   | AggregateExec                                               | 8           | 0.615195          | 4608         | 8              | 0           | 0             | 0            |
| 18   | RepartitionExec                                             | 8           | 0.059493          | 163840       | 1              | 0           | 0             | 0            |
| 19   | AggregateExec                                               | 1           | 0.070281          | 544          | 1              | 0           | 0             | 0            |
| 20   | ProjectionExec                                              | 1           | 0.001896          | 32           | 1              |             |               |              |
| 21   | NestedLoopJoinExec                                          | 131773      | 4.49681           | 2785280      | 24             |             |               |              |
| 22   | FilterExec                                                  | 53942       | 0.785957          | 688128       | 7              |             |               |              |
| 23   | ProjectionExec                                              | 53942       | 0.00652           | 688128       | 7              |             |               |              |
| 24   | SortExec                                                    | 53942       | 3.662956          | 647304       | 7              | 0           | 0             | 0            |
| 25   | SortPreservingMergeExec                                     | 53942       | 1.680956          | 647304       | 7              |             |               |              |
| 26   | BoundedWindowAggExec                                        | 53942       | 9.314643          | 1106056      | 7              |             |               |              |
| 27   | ProjectionExec                                              | 53942       | 0.010396          | 674520       | 7              |             |               |              |
| 28   | RepartitionExec                                             | 53942       | 0.013752          | 674520       | 7              | 0           | 0             | 0            |
| 29   | FilterExec                                                  | 10          | 0.169133          | 98304        | 1              |             |               |              |
| 30   | ProjectionExec                                              | 10          | 0.001633          | 98304        | 1              |             |               |              |
| 31   | RepartitionExec                                             | 10          | 0.082548          | 491520       | 5              | 0           | 0             | 0            |
| 32   | IcebergScanExec                                             | 236727      | 0.588322          | 0            | 0              |             |               |              |
| 33   | RepartitionExec                                             | 236727      | 6.106174          | 4194304      | 32             | 0           | 0             | 0            |
| 34   | FilterExec                                                  | 236727      | 4.036297          | 3145728      | 32             |             |               |              |
| 35   | AggregateExec                                               | 218324      | 35.005221         | 20601344     | 32             | 0           | 0             | 0            |
| 36   | RepartitionExec                                             | 218324      | 1.789001          | 5242880      | 32             | 0           | 0             | 0            |
| 37   | AggregateExec                                               | 131773      | 14.863122         | 8231968      | 23             | 0           | 0             | 0            |
| 38   | CoalescePartitionsExec                                      | 131773      | 0.020852          | 8231968      | 23             |             |               |              |
| 39   | IcebergScanExec                                             | 9687        | 0.604878          | 0            | 0              |             |               |              |
| 40   | RepartitionExec                                             | 9687        | 3.29198           | 1056768      | 8              | 0           | 0             | 0            |
| 41   | FilterExec                                                  | 9687        | 0.333377          | 786432       | 8              |             |               |              |
| 42   | AggregateExec                                               | 8           | 0.450366          | 4608         | 8              | 0           | 0             | 0            |
| 43   | RepartitionExec                                             | 8           | 0.049403          | 163840       | 1              | 0           | 0             | 0            |
| 44   | AggregateExec                                               | 1           | 0.217262          | 544          | 1              | 0           | 0             | 0            |
| 45   | ProjectionExec                                              | 1           | 0.001957          | 32           | 1              |             |               |              |
| 46   | NestedLoopJoinExec                                          | 131773      | 5.707203          | 2785280      | 24             |             |               |              |
| 47   | FilterExec                                                  | 53942       | 0.880157          | 688128       | 7              |             |               |              |
| 48   | ProjectionExec                                              | 53942       | 0.005973          | 688128       | 7              |             |               |              |
| 49   | SortExec                                                    | 53942       | 3.886369          | 647304       | 7              | 0           | 0             | 0            |
| 50   | SortPreservingMergeExec                                     | 53942       | 1.494574          | 647304       | 7              |             |               |              |
