sqe-cli 0.36.0 connected to http://localhost:50051 (flight)
+------+-------------------------------------------------------------+-------------+--------------------+--------------+----------------+-------------+---------------+--------------+
| step | operation                                                   | output_rows | elapsed_ms         | output_bytes | output_batches | spill_count | spilled_bytes | spilled_rows |
+------+-------------------------------------------------------------+-------------+--------------------+--------------+----------------+-------------+---------------+--------------+
| -5   | [phase] parse + logical plan                                |             | 56.098616          |              |                |             |               |              |
| -4   | [phase] policy evaluate                                     |             | 0.001137           |              |                |             |               |              |
| -3   | [phase] physical plan                                       |             | 48.02903           |              |                |             |               |              |
| -2   | [phase] execute (per-op detail below)                       |             | 8223.052481        |              |                |             |               |              |
| -1   | [phase] framework overhead (parse + plan + policy + result) |             | 104.13059099999919 |              |                |             |               |              |
| 5    | IcebergScanExec                                             | 120         | 0.72484            | 0            | 0              |             |               |              |
| 6    | RepartitionExec                                             | 120         | 0.019699           | 34404        | 1              | 0           | 0             | 0            |
| 7    | FilterExec                                                  | 0           | 0.007169           | 0            | 0              |             |               |              |
| 8    | CoalescePartitionsExec                                      | 0           | 0.006417           | 0            | 0              |             |               |              |
| 9    | IcebergScanExec                                             | 86400       | 4.387796           | 0            | 0              |             |               |              |
| 10   | RepartitionExec                                             | 86400       | 0.01271            | 1081344      | 11             | 0           | 0             | 0            |
| 11   | FilterExec                                                  | 1800        | 0.217908           | 32768        | 1              |             |               |              |
| 12   | CoalescePartitionsExec                                      | 1800        | 0.020957           | 32768        | 1              |             |               |              |
| 13   | IcebergScanExec                                             | 7200        | 1.232127           | 0            | 0              |             |               |              |
| 14   | RepartitionExec                                             | 7200        | 0.003827           | 57600        | 1              | 0           | 0             | 0            |
| 15   | FilterExec                                                  | 2160        | 0.070874           | 32768        | 1              |             |               |              |
| 16   | CoalescePartitionsExec                                      | 2160        | 0.006188           | 32768        | 1              |             |               |              |
| 17   | IcebergScanExec                                             | 172308      | 21.771986          | 0            | 0              |             |               |              |
| 18   | RepartitionExec                                             | 172308      | 19.20219           | 2359296      | 24             | 0           | 0             | 0            |
| 19   | HashJoinExec                                                | 172308      | 4.563906           | 1421088      | 24             |             |               |              |
